id,is_humor,humor_rating,humor_mechanism,humor_target
tweet30047,1,0.0,unmasking,professions
tweet30048,1,0.0,parody,women
tweet30049,0,0.0,reference,self-deprecating
tweet30050,0,0.0,exaggeration,technology
tweet30051,1,0.0,absurd,substance use
tweet30052,0,0.0,exaggeration,body shaming
tweet30053,1,0.0,reference,self-deprecating
tweet30054,1,0.0,absurd,professions
tweet30055,0,0.0,absurd,self-deprecating
tweet30056,0,0.0,reference,self-deprecating
tweet30057,0,0.0,absurd,professions
tweet30058,0,0.0,embarrassment,age
tweet30059,1,0.0,stereotype,body shaming
tweet30060,0,0.0,wordplay,professions
tweet30061,0,0.0,reference,professions
tweet30062,0,0.0,embarrassment,family/relationships
tweet30063,0,0.0,irony,age
tweet30064,1,0.0,wordplay,body shaming
tweet30065,0,0.0,exaggeration,self-deprecating
tweet30066,0,0.0,absurd,self-deprecating
tweet30067,0,0.0,unmasking,professions
tweet30068,0,0.0,absurd,self-deprecating
tweet30069,0,0.0,analogy,self-deprecating
tweet30070,0,0.0,absurd,professions
tweet30071,0,0.0,absurd,self-deprecating
tweet30072,1,0.0,wordplay,body shaming
tweet30073,0,0.0,reference,self-deprecating
tweet30074,0,0.0,reference,self-deprecating
tweet30075,0,0.0,reference,substance use
tweet30076,0,0.0,reference,self-deprecating
tweet30077,1,0.0,irony,technology
tweet30078,0,0.0,reference,self-deprecating
tweet30079,1,0.0,reference,technology
tweet30080,0,0.0,irony,self-deprecating
tweet30081,0,0.0,absurd,self-deprecating
tweet30082,0,0.0,absurd,self-deprecating
tweet30083,0,0.0,reference,self-deprecating
tweet30084,0,0.0,parody,technology
tweet30085,0,0.0,reference,self-deprecating
tweet30086,0,0.0,irony,self-deprecating
tweet30087,1,0.0,wordplay,professions
tweet30088,0,0.0,reference,professions
tweet30089,1,0.0,wordplay,body shaming
tweet30090,0,0.0,parody,professions
tweet30091,1,0.0,stereotype,body shaming
tweet30092,0,0.0,parody,self-deprecating
tweet30093,0,0.0,exaggeration,body shaming
tweet30094,0,0.0,absurd,self-deprecating
tweet30095,0,0.0,parody,self-deprecating
tweet30096,1,0.0,unmasking,age
tweet30097,0,0.0,wordplay,self-deprecating
tweet30098,1,0.0,wordplay,self-deprecating
tweet30099,0,0.0,reference,men
tweet30100,0,0.0,absurd,self-deprecating
tweet30101,0,0.0,misunderstanding,women
tweet30102,1,0.0,stereotype,women
tweet30103,0,0.0,wordplay,self-deprecating
tweet30104,1,0.0,wordplay,professions
tweet30105,0,0.0,parody,self-deprecating
tweet30106,0,0.0,parody,technology
tweet30107,0,0.0,parody,professions
tweet30108,1,0.0,unmasking,professions
tweet30109,0,0.0,reference,self-deprecating
tweet30110,0,0.0,wordplay,body shaming
tweet30111,1,0.0,analogy,self-deprecating
tweet30112,1,0.0,exaggeration,social status
tweet30113,0,0.0,wordplay,women
tweet30114,1,0.0,reference,self-deprecating
tweet30115,1,0.0,irony,self-deprecating
tweet30116,1,0.0,misunderstanding,professions
tweet30117,0,0.0,reference,professions
tweet30118,0,0.0,exaggeration,self-deprecating
tweet30119,0,0.0,reference,self-deprecating
tweet30120,0,0.0,parody,professions
tweet30121,0,0.0,reference,self-deprecating
tweet30122,0,0.0,absurd,self-deprecating
tweet30123,1,0.0,parody,body shaming
tweet30124,0,0.0,reference,self-deprecating
tweet30125,0,0.0,absurd,self-deprecating
tweet30126,0,0.0,reference,self-deprecating
tweet30127,1,0.0,irony,age
tweet30128,0,0.0,parody,self-deprecating
tweet30129,0,0.0,absurd,self-deprecating
tweet30130,0,0.0,wordplay,health
tweet30131,0,0.0,irony,professions
tweet30132,0,0.0,absurd,substance use
tweet30133,0,0.0,absurd,self-deprecating
tweet30134,0,0.0,wordplay,body shaming
tweet30135,0,0.0,exaggeration,self-deprecating
tweet30136,0,0.0,absurd,self-deprecating
tweet30137,0,0.0,absurd,self-deprecating
tweet30138,0,0.0,embarrassment,self-deprecating
tweet30139,1,0.0,misunderstanding,professions
tweet30140,0,0.0,parody,self-deprecating
tweet30141,0,0.0,absurd,self-deprecating
tweet30142,0,0.0,absurd,self-deprecating
tweet30143,0,0.0,wordplay,professions
tweet30144,1,0.0,absurd,substance use
tweet30145,0,0.0,absurd,self-deprecating
tweet30146,0,0.0,reference,professions
tweet30147,0,0.0,reference,self-deprecating
tweet30148,0,0.0,parody,professions
tweet30149,0,0.0,reference,self-deprecating
tweet30150,1,0.0,reference,body shaming
tweet30151,1,0.0,wordplay,professions
tweet30152,0,0.0,reference,self-deprecating
tweet30153,0,0.0,reference,family/relationships
tweet30154,0,0.0,reference,self-deprecating
tweet30155,0,0.0,irony,professions
tweet30156,1,0.0,absurd,substance use
tweet30157,0,0.0,parody,self-deprecating
tweet30158,0,0.0,reference,self-deprecating
tweet30159,0,0.0,reference,self-deprecating
tweet30160,1,0.0,wordplay,professions
tweet30161,0,0.0,wordplay,family/relationships
tweet30162,0,0.0,absurd,family/relationships
tweet30163,1,0.0,wordplay,women
tweet30164,0,0.0,parody,professions
tweet30165,1,0.0,irony,professions
tweet30166,0,0.0,absurd,self-deprecating
tweet30167,0,0.0,reference,self-deprecating
tweet30168,1,0.0,absurd,professions
tweet30169,1,0.0,parody,age
tweet30170,0,0.0,wordplay,professions
tweet30171,1,0.0,irony,professions
tweet30172,1,0.0,embarrassment,women
tweet30173,0,0.0,reference,professions
tweet30174,0,0.0,absurd,professions
tweet30175,0,0.0,wordplay,family/relationships
tweet30176,0,0.0,exaggeration,body shaming
tweet30177,0,0.0,parody,body shaming
tweet30178,0,0.0,absurd,professions
tweet30179,1,0.0,wordplay,family/relationships
tweet30180,0,0.0,absurd,substance use
tweet30181,0,0.0,stereotype,self-deprecating
tweet30182,1,0.0,wordplay,professions
tweet30183,1,0.0,reference,self-deprecating
tweet30184,0,0.0,parody,self-deprecating
tweet30185,0,0.0,reference,self-deprecating
tweet30186,1,0.0,absurd,age
tweet30187,0,0.0,parody,professions
tweet30188,1,0.0,stereotype,family/relationships
tweet30189,1,0.0,wordplay,professions
tweet30190,0,0.0,reference,ethnicity/origin
tweet30191,1,0.0,wordplay,professions
tweet30192,0,0.0,parody,self-deprecating
tweet30193,0,0.0,absurd,substance use
tweet30194,1,0.0,wordplay,professions
tweet30195,0,0.0,stereotype,self-deprecating
tweet30196,0,0.0,absurd,professions
tweet30197,0,0.0,wordplay,lgbt
tweet30198,0,0.0,absurd,health
tweet30199,1,0.0,parody,body shaming
tweet30200,0,0.0,parody,self-deprecating
tweet30201,1,0.0,absurd,age
tweet30202,0,0.0,reference,professions
tweet30203,1,0.0,wordplay,professions
tweet30204,0,0.0,wordplay,health
tweet30205,1,0.0,insults,technology
tweet30206,0,0.0,absurd,professions
tweet30207,1,0.0,irony,substance use
tweet30208,1,0.0,parody,family/relationships
tweet30209,0,0.0,parody,self-deprecating
tweet30210,0,0.0,analogy,professions
tweet30211,0,0.0,irony,body shaming
tweet30212,1,0.0,wordplay,lgbt
tweet30213,0,0.0,wordplay,professions
tweet30214,0,0.0,reference,self-deprecating
tweet30215,1,0.0,misunderstanding,family/relationships
tweet30216,1,0.0,embarrassment,professions
tweet30217,0,0.0,reference,self-deprecating
tweet30218,0,0.0,absurd,professions
tweet30219,0,0.0,exaggeration,self-deprecating
tweet30220,1,0.0,reference,professions
tweet30221,1,0.0,absurd,family/relationships
tweet30222,0,0.0,reference,self-deprecating
tweet30223,0,0.0,absurd,self-deprecating
tweet30224,1,0.0,exaggeration,body shaming
tweet30225,0,0.0,wordplay,self-deprecating
tweet30226,1,0.0,insults,professions
tweet30227,0,0.0,reference,self-deprecating
tweet30228,1,0.0,wordplay,professions
tweet30229,0,0.0,absurd,lgbt
tweet30230,0,0.0,absurd,self-deprecating
tweet30231,0,0.0,reference,self-deprecating
tweet30232,0,0.22330588,parody,self-deprecating
tweet30233,0,0.0,absurd,technology
tweet30234,1,0.0,reference,self-deprecating
tweet30235,1,0.0,irony,professions
tweet30236,0,0.0,reference,self-deprecating
tweet30237,1,0.0,insults,women
tweet30238,0,0.0,parody,self-deprecating
tweet30239,1,0.0,absurd,professions
tweet30240,0,0.0,parody,technology
tweet30241,1,0.0,reference,women
tweet30242,0,0.0,reference,self-deprecating
tweet30243,1,0.0,reference,age
tweet30244,0,0.0,absurd,professions
tweet30245,1,0.0,wordplay,professions
tweet30246,0,0.0,reference,self-deprecating
tweet30247,0,0.0,irony,self-deprecating
tweet30248,0,0.0,parody,self-deprecating
tweet30249,0,0.0,reference,self-deprecating
tweet30250,0,0.0,absurd,health
tweet30251,1,0.0,absurd,self-deprecating
tweet30252,0,0.0,absurd,professions
tweet30253,0,0.0,exaggeration,self-deprecating
tweet30254,0,0.0,reference,self-deprecating
tweet30255,0,0.0,unmasking,religion
tweet30256,0,0.0,embarrassment,age
tweet30257,0,0.0,absurd,self-deprecating
tweet30258,0,0.0,absurd,religion
tweet30259,0,0.0,absurd,self-deprecating
tweet30260,0,0.0,reference,self-deprecating
tweet30261,0,0.0,absurd,self-deprecating
tweet30262,1,0.0,irony,professions
tweet30263,0,0.0,reference,self-deprecating
tweet30264,0,0.0,reference,self-deprecating
tweet30265,0,0.0,absurd,body shaming
tweet30266,0,0.0,absurd,self-deprecating
tweet30267,0,0.0,absurd,self-deprecating
tweet30268,0,0.0,reference,self-deprecating
tweet30269,0,0.0,parody,professions
tweet30270,0,0.0,absurd,self-deprecating
tweet30271,1,0.0,analogy,age
tweet30272,0,0.0,exaggeration,body shaming
tweet30273,1,0.0,insults,women
tweet30274,1,0.0,irony,body shaming
tweet30275,0,0.0,exaggeration,self-deprecating
tweet30276,1,0.0,unmasking,age
tweet30277,0,0.0,embarrassment,self-deprecating
tweet30278,0,0.0,absurd,professions
tweet30279,0,0.0,absurd,self-deprecating
tweet30280,1,0.0,reference,self-deprecating
tweet30281,1,0.0,embarrassment,body shaming
tweet30282,0,0.0,absurd,substance use
tweet30283,0,0.0,absurd,professions
tweet30284,1,0.0,reference,age
tweet30285,1,0.0,analogy,women
tweet30286,1,0.0,reference,women
tweet30287,0,0.0,parody,self-deprecating
tweet30288,0,0.0,reference,self-deprecating
tweet30289,0,0.0,absurd,self-deprecating
tweet30290,0,0.0,absurd,self-deprecating
tweet30291,0,0.0,absurd,professions
tweet30292,1,0.0,absurd,self-deprecating
tweet30293,1,0.0,absurd,body shaming
tweet30294,0,0.0,parody,professions
tweet30295,1,0.0,wordplay,self-deprecating
tweet30296,1,0.0,wordplay,body shaming
tweet30297,0,0.0,irony,professions
tweet30298,1,0.0,embarrassment,body shaming
tweet30299,1,0.0,wordplay,health
tweet30300,0,0.0,stereotype,self-deprecating
tweet30301,0,0.0,parody,self-deprecating
tweet30302,1,0.0,absurd,self-deprecating
tweet30303,1,0.0,irony,professions
tweet30304,0,0.0,misunderstanding,professions
tweet30305,1,0.0,unmasking,body shaming
tweet30306,0,0.0,parody,technology
tweet30307,1,0.0,embarrassment,self-deprecating
tweet30308,1,0.0,wordplay,sexual aggressors
tweet30309,1,0.0,unmasking,family/relationships
tweet30310,1,0.0,exaggeration,self-deprecating
tweet30311,1,0.0,embarrassment,body shaming
tweet30312,0,0.0,parody,body shaming
tweet30313,0,0.0,reference,professions
tweet30314,0,0.0,parody,professions
tweet30315,1,0.0,insults,women
tweet30316,1,0.0,wordplay,professions
tweet30317,1,0.0,absurd,professions
tweet30318,1,0.0,reference,self-deprecating
tweet30319,0,0.0,reference,self-deprecating
tweet30320,0,0.0,reference,self-deprecating
tweet30321,0,0.0,reference,family/relationships
tweet30322,1,0.0,unmasking,family/relationships
tweet30323,1,0.0,absurd,professions
tweet30324,1,0.0,reference,professions
tweet30325,0,0.0,reference,self-deprecating
tweet30326,0,0.0,irony,professions
tweet30327,0,0.0,reference,self-deprecating
tweet30328,1,0.0,wordplay,body shaming
tweet30329,0,0.0,absurd,self-deprecating
tweet30330,1,0.0,reference,social status
tweet30331,0,0.0,irony,self-deprecating
tweet30332,1,0.0,misunderstanding,age
tweet30333,1,0.0,reference,professions
tweet30334,0,0.0,absurd,substance use
tweet30335,0,0.0,reference,self-deprecating
tweet30336,1,0.0,stereotype,body shaming
tweet30337,0,0.0,misunderstanding,health
tweet30338,1,0.0,unmasking,family/relationships
tweet30339,1,0.0,exaggeration,professions
tweet30340,1,0.0,absurd,self-deprecating
tweet30341,0,0.0,wordplay,body shaming
tweet30342,0,0.0,irony,body shaming
tweet30343,0,0.0,absurd,self-deprecating
tweet30344,1,0.0,irony,age
tweet30345,0,0.0,parody,self-deprecating
tweet30346,0,0.0,reference,self-deprecating
tweet30347,1,0.0,wordplay,lgbt
tweet30348,0,0.0,stereotype,professions
tweet30349,1,0.0,reference,lgbt
tweet30350,1,0.0,reference,body shaming
tweet30351,0,0.0,reference,self-deprecating
tweet30352,1,0.0,stereotype,family/relationships
tweet30353,1,0.0,irony,ethnicity/origin
tweet30354,1,0.0,unmasking,body shaming
tweet30355,1,0.0,absurd,self-deprecating
tweet30356,0,0.0,absurd,self-deprecating
tweet30357,0,0.0,reference,self-deprecating
tweet30358,0,0.0,reference,self-deprecating
tweet30359,1,0.0,reference,social status
tweet30360,0,0.0,absurd,religion
tweet30361,1,0.0,reference,age
tweet30362,1,0.0,misunderstanding,family/relationships
tweet30363,0,0.0,reference,self-deprecating
tweet30364,1,0.0,stereotype,professions
tweet30365,1,0.0,misunderstanding,age
tweet30366,0,0.0,irony,professions
tweet30367,1,0.0,parody,professions
tweet30368,0,0.0,absurd,substance use
tweet30369,1,0.0,irony,body shaming
tweet30370,1,0.0,absurd,ethnicity/origin
tweet30371,0,0.0,reference,professions
tweet30372,1,0.0,unmasking,age
tweet30373,1,0.0,absurd,professions
tweet30374,0,0.0,absurd,self-deprecating
tweet30375,1,0.0,reference,women
tweet30376,0,0.0,exaggeration,women
tweet30377,0,0.0,absurd,men
tweet30378,1,0.0,absurd,professions
tweet30379,1,0.0,stereotype,professions
tweet30380,0,0.0,absurd,substance use
tweet30381,0,0.0,wordplay,self-deprecating
tweet30382,1,0.0,absurd,religion
tweet30383,0,0.0,unmasking,self-deprecating
tweet30384,1,0.0,stereotype,professions
tweet30385,0,0.0,exaggeration,self-deprecating
tweet30386,1,0.0,absurd,professions
tweet30387,1,0.0,stereotype,professions
tweet30388,0,0.0,reference,self-deprecating
tweet30389,0,0.0,reference,self-deprecating
tweet30390,0,0.0,reference,self-deprecating
tweet30391,0,0.0,irony,self-deprecating
tweet30392,1,0.0,irony,professions
tweet30393,1,0.0,irony,self-deprecating
tweet30394,1,0.0,irony,professions
tweet30395,0,0.0,absurd,professions
tweet30396,1,0.0,absurd,self-deprecating
tweet30397,1,0.0,absurd,age
tweet30398,0,0.0,exaggeration,self-deprecating
tweet30399,0,0.0,reference,professions
tweet30400,1,0.0,absurd,self-deprecating
tweet30401,1,0.0,stereotype,professions
tweet30402,1,0.0,reference,self-deprecating
tweet30403,1,0.0,analogy,professions
tweet30404,0,0.0,parody,self-deprecating
tweet30405,0,0.0,absurd,self-deprecating
tweet30406,1,0.0,irony,professions
tweet30407,1,0.0,absurd,professions
tweet30408,0,0.0,absurd,family/relationships
tweet30409,0,0.0,absurd,professions
tweet30410,0,0.0,analogy,self-deprecating
tweet30411,0,0.0,reference,social status
tweet30412,1,0.0,irony,family/relationships
tweet30413,0,0.0,parody,professions
tweet30414,0,0.0,absurd,self-deprecating
tweet30415,1,0.0,reference,body shaming
tweet30416,0,0.0,parody,body shaming
tweet30417,0,0.0,exaggeration,age
tweet30418,0,0.0,absurd,health
tweet30419,1,0.0,insults,body shaming
tweet30420,1,0.0,absurd,lgbt
tweet30421,0,0.0,absurd,self-deprecating
tweet30422,0,0.0,wordplay,professions
tweet30423,1,0.0,irony,age
tweet30424,0,0.0,wordplay,self-deprecating
tweet30425,0,0.0,reference,self-deprecating
tweet30426,1,0.0,stereotype,technology
tweet30427,0,0.0,absurd,self-deprecating
tweet30428,0,0.0,absurd,self-deprecating
tweet30429,0,0.0,exaggeration,age
tweet30430,0,0.0,embarrassment,professions
tweet30431,1,0.0,analogy,body shaming
tweet30432,0,0.0,reference,self-deprecating
tweet30433,0,0.0,analogy,self-deprecating
tweet30434,0,0.0,parody,technology
tweet30435,1,0.0,wordplay,age
tweet30436,0,0.0,reference,self-deprecating
tweet30437,0,0.0,reference,self-deprecating
tweet30438,0,0.0,absurd,substance use
tweet30439,1,0.0,irony,ethnicity/origin
tweet30440,0,0.0,wordplay,professions
tweet30441,0,0.0,parody,body shaming
tweet30442,1,0.0,reference,ethnicity/origin
tweet30443,0,0.0,parody,body shaming
tweet30444,1,0.0,wordplay,ethnicity/origin
tweet30445,0,0.0,analogy,self-deprecating
tweet30446,0,0.0,reference,self-deprecating
tweet30447,1,0.0,reference,social status
tweet30448,0,0.0,absurd,body shaming
tweet30449,1,0.0,absurd,substance use
tweet30450,1,0.0,misunderstanding,professions
tweet30451,0,0.0,absurd,substance use
tweet30452,0,0.0,parody,self-deprecating
tweet30453,0,0.0,absurd,self-deprecating
tweet30454,0,0.0,parody,self-deprecating
tweet30455,0,0.0,analogy,self-deprecating
tweet30456,0,0.0,wordplay,professions
tweet30457,0,0.0,absurd,professions
tweet30458,0,0.0,reference,professions
tweet30459,1,0.0,reference,professions
tweet30460,0,0.0,wordplay,self-deprecating
tweet30461,0,0.0,absurd,self-deprecating
tweet30462,0,0.0,reference,professions
tweet30463,1,0.0,irony,age
tweet30464,0,0.0,reference,self-deprecating
tweet30465,0,0.0,absurd,self-deprecating
tweet30466,0,0.0,wordplay,self-deprecating
tweet30467,0,0.0,reference,self-deprecating
tweet30468,0,0.0,reference,self-deprecating
tweet30469,1,0.0,analogy,professions
tweet30470,1,0.0,wordplay,professions
tweet30471,0,0.0,absurd,self-deprecating
tweet30472,0,0.0,reference,social status
tweet30473,1,0.0,misunderstanding,women
tweet30474,0,0.0,parody,self-deprecating
tweet30475,0,0.0,irony,health
tweet30476,1,0.0,analogy,women
tweet30477,0,0.0,reference,self-deprecating
tweet30478,0,0.0,analogy,self-deprecating
tweet30479,1,0.0,irony,self-deprecating
tweet30480,0,0.0,reference,self-deprecating
tweet30481,1,0.0,wordplay,body shaming
tweet30482,1,0.0,wordplay,body shaming
tweet30483,0,0.0,absurd,self-deprecating
tweet30484,1,0.0,unmasking,age
tweet30485,0,0.0,reference,self-deprecating
tweet30486,0,0.0,wordplay,self-deprecating
tweet30487,0,0.0,absurd,professions
tweet30488,0,0.0,reference,self-deprecating
tweet30489,0,0.0,reference,self-deprecating
tweet30490,0,0.0,exaggeration,self-deprecating
tweet30491,1,0.0,absurd,body shaming
tweet30492,0,0.0,exaggeration,technology
tweet30493,0,0.0,misunderstanding,professions
tweet30494,1,0.0,unmasking,family/relationships
tweet30495,0,0.0,exaggeration,technology
tweet30496,0,0.0,absurd,self-deprecating
tweet30497,1,0.0,irony,age
tweet30498,1,0.0,wordplay,professions
tweet30499,0,0.0,absurd,body shaming
tweet30500,1,0.0,absurd,substance use
tweet30501,0,0.0,reference,professions
tweet30502,0,0.0,absurd,body shaming
tweet30503,0,0.0,absurd,self-deprecating
tweet30504,1,0.0,analogy,professions
tweet30505,1,0.0,analogy,self-deprecating
tweet30506,0,0.0,reference,self-deprecating
tweet30507,0,0.0,embarrassment,family/relationships
tweet30508,0,0.0,reference,self-deprecating
tweet30509,1,0.0,parody,professions
tweet30510,0,0.0,absurd,self-deprecating
tweet30511,1,0.0,misunderstanding,professions
tweet30512,0,0.0,wordplay,age
tweet30513,0,0.0,absurd,self-deprecating
tweet30514,0,0.0,absurd,professions
tweet30515,0,0.0,wordplay,technology
tweet30516,0,0.0,reference,self-deprecating
tweet30517,0,0.0,reference,self-deprecating
tweet30518,0,0.0,parody,technology
tweet30519,1,0.0,parody,body shaming
tweet30520,0,0.0,absurd,professions
tweet30521,1,0.0,absurd,lgbt
tweet30522,0,0.0,absurd,self-deprecating
tweet30523,0,0.0,parody,self-deprecating
tweet30524,0,0.0,absurd,substance use
tweet30525,1,0.0,wordplay,lgbt
tweet30526,1,0.0,unmasking,family/relationships
tweet30527,0,0.0,parody,self-deprecating
tweet30528,0,0.0,irony,age
tweet30529,0,0.0,absurd,substance use
tweet30530,1,0.0,reference,self-deprecating
tweet30531,0,0.0,stereotype,self-deprecating
tweet30532,0,0.0,parody,health
tweet30533,1,0.0,unmasking,lgbt
tweet30534,0,0.0,irony,self-deprecating
tweet30535,0,0.0,reference,self-deprecating
tweet30536,0,0.0,parody,self-deprecating
tweet30537,0,0.0,absurd,self-deprecating
tweet30538,1,0.0,reference,professions
tweet30539,1,0.0,absurd,family/relationships
tweet30540,0,0.0,parody,body shaming
tweet30541,0,0.0,exaggeration,self-deprecating
tweet30542,0,0.0,absurd,self-deprecating
tweet30543,0,0.0,wordplay,self-deprecating
tweet30544,1,0.0,irony,women
tweet30545,0,0.0,absurd,self-deprecating
tweet30546,0,0.0,wordplay,self-deprecating
tweet30547,0,0.0,reference,self-deprecating
tweet30548,0,0.0,reference,self-deprecating
tweet30549,1,0.0,parody,professions
tweet30550,0,0.0,stereotype,professions
tweet30551,0,0.0,wordplay,self-deprecating
tweet30552,0,0.0,wordplay,professions
tweet30553,0,0.0,absurd,self-deprecating
tweet30554,0,0.0,irony,lgbt
tweet30555,0,0.0,reference,social status
tweet30556,0,0.0,wordplay,professions
tweet30557,0,0.0,reference,self-deprecating
tweet30558,1,0.0,reference,body shaming
tweet30559,0,0.0,reference,self-deprecating
tweet30560,1,0.0,misunderstanding,age
tweet30561,1,0.0,stereotype,professions
tweet30562,0,0.0,wordplay,self-deprecating
tweet30563,1,0.0,absurd,self-deprecating
tweet30564,0,0.0,reference,self-deprecating
tweet30565,1,0.0,reference,professions
tweet30566,0,0.0,wordplay,family/relationships
tweet30567,1,0.0,irony,self-deprecating
tweet30568,1,0.0,misunderstanding,age
tweet30569,0,0.0,reference,social status
tweet30570,0,0.0,stereotype,self-deprecating
tweet30571,0,0.0,reference,professions
tweet30572,0,0.0,parody,social status
tweet30573,0,0.0,reference,family/relationships
tweet30574,0,0.0,exaggeration,self-deprecating
tweet30575,0,0.0,absurd,self-deprecating
tweet30576,0,0.0,absurd,self-deprecating
tweet30577,0,0.0,reference,self-deprecating
tweet30578,0,0.0,parody,self-deprecating
tweet30579,0,0.0,wordplay,professions
tweet30580,0,0.0,exaggeration,self-deprecating
tweet30581,0,0.0,parody,self-deprecating
tweet30582,0,0.0,parody,technology
tweet30583,1,0.0,wordplay,health
tweet30584,0,0.0,reference,self-deprecating
tweet30585,1,0.0,unmasking,professions
tweet30586,0,0.0,absurd,self-deprecating
tweet30587,0,0.0,absurd,substance use
tweet30588,0,0.0,analogy,self-deprecating
tweet30589,0,0.0,exaggeration,self-deprecating
tweet30590,0,0.0,absurd,self-deprecating
tweet30591,1,0.0,reference,self-deprecating
tweet30592,0,0.0,absurd,self-deprecating
tweet30593,0,0.0,reference,self-deprecating
tweet30594,1,0.0,irony,age
tweet30595,0,0.0,wordplay,family/relationships
tweet30596,1,0.0,exaggeration,body shaming
tweet30597,0,0.0,parody,self-deprecating
tweet30598,0,0.0,reference,self-deprecating
tweet30599,1,0.0,reference,professions
tweet30600,0,0.0,absurd,body shaming
tweet30601,0,0.0,wordplay,body shaming
tweet30602,1,0.0,reference,age
tweet30603,1,0.0,wordplay,professions
tweet30604,0,0.0,reference,self-deprecating
tweet30605,0,0.0,wordplay,ethnicity/origin
tweet30606,0,0.0,analogy,technology
tweet30607,1,0.0,exaggeration,technology
tweet30608,0,0.0,reference,self-deprecating
tweet30609,0,0.0,analogy,self-deprecating
tweet30610,0,0.0,absurd,self-deprecating
tweet30611,1,0.0,irony,family/relationships
tweet30612,0,0.0,reference,technology
tweet30613,1,0.0,absurd,women
tweet30614,0,0.0,reference,family/relationships
tweet30615,1,0.0,irony,age
tweet30616,0,0.0,exaggeration,self-deprecating
tweet30617,1,0.0,wordplay,body shaming
tweet30618,0,0.0,absurd,substance use
tweet30619,0,0.0,irony,lgbt
tweet30620,1,0.0,insults,professions
tweet30621,1,0.0,parody,professions
tweet30622,1,0.0,unmasking,self-deprecating
tweet30623,1,0.0,irony,body shaming
tweet30624,1,0.0,parody,professions
tweet30625,1,0.0,absurd,body shaming
tweet30626,1,0.0,absurd,age
tweet30627,0,0.0,absurd,self-deprecating
tweet30628,1,0.0,unmasking,professions
tweet30629,0,0.0,exaggeration,technology
tweet30630,1,0.0,reference,body shaming
tweet30631,1,0.0,wordplay,religion
tweet30632,0,0.0,absurd,age
tweet30633,0,0.0,parody,self-deprecating
tweet30634,0,0.0,absurd,self-deprecating
tweet30635,0,0.0,reference,self-deprecating
tweet30636,1,0.0,stereotype,age
tweet30637,0,0.0,insults,age
tweet30638,0,0.0,parody,self-deprecating
tweet30639,0,0.0,reference,self-deprecating
tweet30640,1,0.0,wordplay,body shaming
tweet30641,0,0.0,reference,self-deprecating
tweet30642,1,0.0,embarrassment,body shaming
tweet30643,0,0.0,wordplay,men
tweet30644,1,0.0,irony,age
tweet30645,0,0.0,absurd,age
tweet30646,0,0.0,parody,self-deprecating
tweet30647,1,0.0,insults,women
tweet30648,1,0.0,misunderstanding,professions
tweet30649,0,0.0,reference,family/relationships
tweet30650,0,0.0,reference,self-deprecating
tweet30651,1,0.0,absurd,religion
tweet30652,0,0.0,exaggeration,self-deprecating
tweet30653,0,0.0,absurd,self-deprecating
tweet30654,0,0.0,wordplay,self-deprecating
tweet30655,0,0.0,reference,professions
tweet30656,1,0.0,reference,self-deprecating
tweet30657,0,0.0,absurd,self-deprecating
tweet30658,0,0.0,wordplay,body shaming
tweet30659,0,0.0,reference,self-deprecating
tweet30660,1,0.0,unmasking,professions
tweet30661,1,0.0,absurd,substance use
tweet30662,1,0.0,unmasking,age
tweet30663,0,0.0,reference,self-deprecating
tweet30664,1,0.0,exaggeration,technology
